title,company,location,salary,tech_tags,requirements,source,job_url,source_url,role_type,notes
2026 AI/ML Intern - Machine Learning Engineer,Adobe,"San Jose, CA",,AI/ML; Machine Learning; Internship,Internship role observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,https://www.linkedin.com/jobs/view/2026-ai-ml-intern-machine-learning-engineer-at-adobe-4286567064,Internship,Exact posting page opened.
"AI/ML Engineer Intern, Master's - Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",,AI/ML; Internship; Engineering,Internship role observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-master-s-summer-2026-mountain-view-ca-at-linkedin-4361351616,Internship,Exact posting page opened.
"AI/ML Engineer Intern – Generative AI, PhD – Summer 2026 (Mountain View, CA)",LinkedIn,"Mountain View, CA",,Generative AI; AI/ML; Internship,PhD-focused generative AI internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,https://www.linkedin.com/jobs/view/ai-ml-engineer-intern-%E2%80%93-generative-ai-phd-%E2%80%93-summer-2026-mountain-view-ca-at-linkedin-4361381502,Internship,Exact posting page opened.
Artificial Intelligence/Machine Learning - Summer 2026 Intern (US Person Required),Honeywell,United States,,Artificial Intelligence; Machine Learning; Internship,Summer 2026 AI/ML internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,https://www.linkedin.com/jobs/view/artificial-intelligence-machine-learning-summer-2026-intern-us-person-required-at-honeywell-4293205332,Internship,Exact posting page opened.
Machine Learning Engineer Intern,Lensa,"Oakland, CA",,Machine Learning; Internship,Machine learning engineering internship observed on LinkedIn posting page.,LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-lensa-4386586356,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-lensa-4386586356,Internship,Exact posting page opened.
Machine Learning Engineer Summer Internship,adMarketplace,"New York, United States",,Machine Learning; ML Pipelines; Internship,Posting says interns help design production-grade ML systems and scalable ML pipelines.,LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineer-summer-internship-at-admarketplace-4373620094,https://www.linkedin.com/jobs/view/machine-learning-engineer-summer-internship-at-admarketplace-4373620094,Internship,Exact posting page opened.
Summer Internship - Machine Learning Engineer,webAI,"Austin, TX",,Machine Learning; Data Pipelines; Internship,"Posting says interns develop machine learning models, data pipelines, and analytical solutions.",LinkedIn,https://www.linkedin.com/jobs/view/summer-internship-machine-learning-engineer-at-webai-4373727481,https://www.linkedin.com/jobs/view/summer-internship-machine-learning-engineer-at-webai-4373727481,Internship,Exact posting page opened.
AI Engineering Intern — AIMS,Modern Amenities,"Coburg, OR",$18/hour,AI Agents; Marketing AI; Internship,"Indeed posting says intern helps build AI agents, dashboards, and transcript-analysis tools.",Indeed,,https://www.indeed.com/jobs?grp=tcl&jcid=e8b9cf688abd98f9&jtid=e49ea3da5f600fb3&limit=20&nl=&q=machine+learning+internship,Internship,Observed on Indeed results/detail page; exact standalone URL not exposed in snippet.
AI Engineer Intern,ONE TECH STOP PTE. LTD.,Singapore 018936,,AI Engineering; Multi-modal Data; Internship,Indeed SG listing mentions multi-modal data (audio and video) and 6-month full-time internship.,Indeed,,https://sg.indeed.com/jobs?q=internship+ai+data+science&sc=0kf%3Ajt%28internship%29%3B,Internship,Observed on Indeed Singapore search page.
Intern: Computer Vision Scene and Activity Understanding,Conxai Technologies GmbH,"Gurugram, Haryana","₹40,000/month",Computer Vision; Deep Learning; Internship,Indeed India listing says intern tackles computer vision and deep learning challenges in product development.,Indeed,,https://in.indeed.com/jobs?grp=tcl&jcid=a7934010a6de4282&jtid=938bdfa277f7cd8e&limit=20&q=ai+ml+intern&rbt=,Internship,Observed on Indeed India search/detail page.
